size_usd,repaid,liquidated,days_ago,wallet_id,wallet_type
1876.74,True,False,1035,0x0000000000000000000000000000000000000000,reliable
31621.96,True,False,1026,0x0000000000000000000000000000000000000000,reliable
15829.03,True,False,985,0x0000000000000000000000000000000000000000,reliable
234.4,True,False,967,0x0000000000000000000000000000000000000000,reliable
4320.93,True,False,907,0x0000000000000000000000000000000000000000,reliable
56469.38,True,False,881,0x0000000000000000000000000000000000000000,reliable
1414.73,False,True,866,0x0000000000000000000000000000000000000000,reliable
2650.98,True,False,825,0x0000000000000000000000000000000000000000,reliable
7158.22,True,False,712,0x0000000000000000000000000000000000000000,reliable
4111.53,True,False,656,0x0000000000000000000000000000000000000000,reliable
124.43,True,False,602,0x0000000000000000000000000000000000000000,reliable
12044.67,True,False,518,0x0000000000000000000000000000000000000000,reliable
280.19,True,False,397,0x0000000000000000000000000000000000000000,reliable
11682.41,True,False,340,0x0000000000000000000000000000000000000000,reliable
5850.46,True,False,197,0x0000000000000000000000000000000000000000,reliable
1279.75,True,False,31,0x0000000000000000000000000000000000000000,reliable
69925.66,True,False,24,0x0000000000000000000000000000000000000000,reliable
10541.74,True,False,1119,0x0000000000000000000000000000000000000001,moderate
1229.79,True,False,970,0x0000000000000000000000000000000000000001,moderate
419.81,True,False,939,0x0000000000000000000000000000000000000001,moderate
1624.94,True,False,873,0x0000000000000000000000000000000000000001,moderate
8329.07,True,False,805,0x0000000000000000000000000000000000000001,moderate
3096.62,True,False,719,0x0000000000000000000000000000000000000001,moderate
3157.87,True,False,693,0x0000000000000000000000000000000000000001,moderate
1202.69,True,False,550,0x0000000000000000000000000000000000000001,moderate
8851.32,True,False,512,0x0000000000000000000000000000000000000001,moderate
4247.08,True,False,402,0x0000000000000000000000000000000000000001,moderate
24684.6,True,False,199,0x0000000000000000000000000000000000000001,moderate
8948.19,True,False,105,0x0000000000000000000000000000000000000001,moderate
5020.59,False,True,1163,0x0000000000000000000000000000000000000002,risky
5641.55,False,True,1146,0x0000000000000000000000000000000000000002,risky
10637.39,False,True,1146,0x0000000000000000000000000000000000000002,risky
10412.08,False,True,961,0x0000000000000000000000000000000000000002,risky
13150.64,True,False,394,0x0000000000000000000000000000000000000002,risky
121.78,True,False,212,0x0000000000000000000000000000000000000002,risky
