wallet_id,wallet_type,wallet_age_days,total_loans,n_repaid,n_liquidated,repayment_rate,total_volume_usd,max_loan_usd,weighted_score,recency_weighted_score,protocol_diversity,avg_health_factor,default_label,default_prob,base_collateral,score_tier
0x0000000000000000000000000000000000000000,reliable,421,17,16,1,0.9412,226875.47,69925.66,2328408.7,945158.9492,3,2.269,0,0.02696685061308482,1.0743,Excellent
0x0000000000000000000000000000000000000001,moderate,678,12,12,0,1.0,76333.72,24684.6,702019.76,261296.1802,2,1.172,0,0.10283570473261416,1.1426,Good
0x0000000000000000000000000000000000000002,risky,152,6,2,4,0.3333,44984.03,13150.64,-17923.41,35171.4936,1,1.153,0,0.9980924844898188,1.5,Poor
0x0000000000000000000000000000000000000003,moderate,283,11,11,0,1.0,273741.26,159677.53,3081113.03,777301.0204,3,1.664,0,0.013871876573595666,1.0625,Excellent
0x0000000000000000000000000000000000000004,reliable,788,16,14,1,0.875,203860.3,104651.82,2059984.75,927858.2609,2,2.291,0,0.05143431408461668,1.0963,Excellent
0x0000000000000000000000000000000000000005,reliable,906,6,6,0,1.0,151316.36,109227.24,1676536.44,93333.4148,8,1.984,0,0.15026804967999222,1.1852,Good
0x0000000000000000000000000000000000000006,moderate,526,13,12,1,0.9231,373940.48,142858.55,4226925.47,1071839.5353,3,1.506,0,0.021237714261796305,1.0691,Excellent
0x0000000000000000000000000000000000000007,reliable,68,21,19,1,0.9048,411348.46,122064.41,4431402.81,1273904.0046,6,1.942,0,0.014988057073426552,1.0635,Excellent
0x0000000000000000000000000000000000000008,reliable,988,10,8,0,0.8,74303.46,28478.55,701413.16,107623.3608,1,1.708,0,0.4009500985363678,1.4109,Poor
0x0000000000000000000000000000000000000009,reliable,1049,15,14,0,0.9333,292273.98,98383.24,3110106.17,782697.3134,6,2.084,0,0.02886143812073565,1.076,Excellent
0x000000000000000000000000000000000000000a,reliable,624,19,19,0,1.0,398086.59,246608.01,4536325.85,657039.609,2,1.712,0,0.07160551573750625,1.1144,Excellent
