wallet_id,wallet_type,wallet_age_days,total_loans,n_repaid,n_liquidated,repayment_rate,total_volume_usd,max_loan_usd,weighted_score,recency_weighted_score,protocol_diversity,avg_health_factor,default_label
0x0000000000000000000000000000000000000000,reliable,421,17,16,1,0.9412,226875.47,69925.66,2328408.7,945158.9492,3,2.269,0
0x0000000000000000000000000000000000000001,moderate,678,12,12,0,1.0,76333.72,24684.6,702019.76,261296.1802,2,1.172,0
0x0000000000000000000000000000000000000002,risky,152,6,2,4,0.3333,44984.03,13150.64,-17923.41,35171.4936,1,1.153,0
0x0000000000000000000000000000000000000003,moderate,283,11,11,0,1.0,273741.26,159677.53,3081113.03,777301.0204,3,1.664,0
0x0000000000000000000000000000000000000004,reliable,788,16,14,1,0.875,203860.3,104651.82,2059984.75,927858.2609,2,2.291,0
0x0000000000000000000000000000000000000005,reliable,906,6,6,0,1.0,151316.36,109227.24,1676536.44,93333.4148,8,1.984,0
0x0000000000000000000000000000000000000006,moderate,526,13,12,1,0.9231,373940.48,142858.55,4226925.47,1071839.5353,3,1.506,0
0x0000000000000000000000000000000000000007,reliable,68,21,19,1,0.9048,411348.46,122064.41,4431402.81,1273904.0046,6,1.942,0
0x0000000000000000000000000000000000000008,reliable,988,10,8,0,0.8,74303.46,28478.55,701413.16,107623.3608,1,1.708,0
0x0000000000000000000000000000000000000009,reliable,1049,15,14,0,0.9333,292273.98,98383.24,3110106.17,782697.3134,6,2.084,0
0x000000000000000000000000000000000000000a,reliable,624,19,19,0,1.0,398086.59,246608.01,4536325.85,657039.609,2,1.712,0
0x000000000000000000000000000000000000000b,reliable,107,15,13,2,0.8667,128356.19,22277.38,854391.62,147339.3451,2,2.399,0
0x000000000000000000000000000000000000000c,moderate,844,8,8,0,1.0,188304.1,74566.44,2031446.95,813356.0119,1,1.338,0
0x000000000000000000000000000000000000000d,reliable,590,17,16,0,0.9412,226767.75,133088.68,2453040.9,612913.3203,7,2.055,0
0x000000000000000000000000000000000000000e,reliable,70,21,19,1,0.9048,316575.77,96031.86,3152642.3,491621.3827,6,1.474,0
0x000000000000000000000000000000000000000f,moderate,705,5,3,2,0.6,226732.5,90849.56,1884124.01,544987.9511,1,1.466,0
0x0000000000000000000000000000000000000010,reliable,428,24,23,0,0.9583,533719.13,390767.63,6126438.58,913319.796,1,1.831,0
0x0000000000000000000000000000000000000011,moderate,448,5,4,0,0.8,22441.55,12425.31,185051.73,36771.5847,2,1.698,0
0x0000000000000000000000000000000000000012,reliable,895,15,14,1,0.9333,225256.01,101121.01,1988122.38,593699.8169,4,1.41,0
0x0000000000000000000000000000000000000013,reliable,1018,9,9,0,1.0,43056.36,12344.17,377361.92,114550.9048,5,2.4,0
0x0000000000000000000000000000000000000014,moderate,416,5,4,1,0.8,38040.71,18325.74,340002.49,65018.7893,1,1.12,0
0x0000000000000000000000000000000000000015,moderate,745,14,13,0,0.9286,647978.42,420880.0,7878211.16,1175161.0145,2,1.57,0
0x0000000000000000000000000000000000000016,reliable,50,13,13,0,1.0,389207.94,172144.01,4447671.42,1147805.8251,7,1.659,0
0x0000000000000000000000000000000000000017,moderate,649,10,8,1,0.8,66753.07,45280.71,658645.74,59090.1794,3,1.262,0
0x0000000000000000000000000000000000000018,reliable,1186,22,19,1,0.8636,188095.82,31896.28,1760600.47,305683.1672,2,1.979,0
0x0000000000000000000000000000000000000019,reliable,920,8,8,0,1.0,261300.26,224964.22,3106059.56,871716.2791,5,2.062,0
0x000000000000000000000000000000000000001a,reliable,65,11,10,0,0.9091,127171.41,50366.85,462925.01,-64337.9113,8,2.11,0
0x000000000000000000000000000000000000001b,reliable,393,9,8,0,0.8889,15807.41,7138.81,128679.15,50337.6384,1,2.326,0
0x000000000000000000000000000000000000001c,reliable,193,9,9,0,1.0,62466.38,20375.0,577295.44,261363.0888,7,1.936,0
0x000000000000000000000000000000000000001d,reliable,374,5,5,0,1.0,9182.45,6855.36,76062.07,46087.0824,2,1.933,0
0x000000000000000000000000000000000000001e,reliable,306,21,20,0,0.9524,231264.22,60519.45,1314398.22,214033.7998,8,1.789,0
0x000000000000000000000000000000000000001f,moderate,331,12,12,0,1.0,325623.92,125327.91,3585844.76,1032663.1289,2,1.494,0
0x0000000000000000000000000000000000000020,reliable,900,13,13,0,1.0,48940.28,10512.31,431234.43,136755.8281,5,1.432,0
0x0000000000000000000000000000000000000021,reliable,279,19,19,0,1.0,195104.68,74308.85,1947645.61,454619.597,3,1.553,0
0x0000000000000000000000000000000000000022,reliable,336,17,17,0,1.0,282626.27,94912.31,3027065.39,258871.2092,3,1.624,0
0x0000000000000000000000000000000000000023,moderate,642,4,4,0,1.0,25767.23,19490.89,242647.98,58011.4959,2,1.15,0
0x0000000000000000000000000000000000000024,moderate,669,14,13,0,0.9286,256990.39,123903.79,2746002.89,472156.747,3,1.62,0
0x0000000000000000000000000000000000000025,reliable,243,23,22,0,0.9565,587167.77,459347.3,7042369.28,5690226.1059,1,1.403,0
0x0000000000000000000000000000000000000026,risky,647,3,2,1,0.6667,13892.61,7358.78,23532.22,18483.2386,3,1.227,1
0x0000000000000000000000000000000000000027,reliable,469,19,18,0,0.9474,201295.33,88925.98,2017953.26,960525.8152,4,1.874,0
0x0000000000000000000000000000000000000028,reliable,428,22,21,0,0.9545,610486.36,424988.77,7282682.63,559580.4812,3,1.962,0
0x0000000000000000000000000000000000000029,moderate,965,14,13,1,0.9286,350486.42,219037.95,3914015.61,2516597.368,1,1.577,0
0x000000000000000000000000000000000000002a,reliable,60,4,4,0,1.0,60985.79,33667.26,611816.44,48545.0728,1,2.192,0
0x000000000000000000000000000000000000002b,moderate,238,6,5,1,0.8333,53426.07,36969.75,515576.37,178641.514,3,1.38,0
0x000000000000000000000000000000000000002c,risky,902,9,7,1,0.7778,129934.38,42654.84,1041045.77,268673.0603,3,1.229,0
0x000000000000000000000000000000000000002d,moderate,259,9,9,0,1.0,349338.81,168796.83,3938797.78,1620415.3765,1,1.564,0
0x000000000000000000000000000000000000002e,reliable,390,14,14,0,1.0,255063.67,115174.26,2712615.39,558374.7151,3,1.449,0
0x000000000000000000000000000000000000002f,moderate,199,13,12,0,0.9231,405181.66,296855.11,4760698.41,2129184.0762,2,1.585,0
0x0000000000000000000000000000000000000030,reliable,1135,5,4,0,0.8,15097.54,9737.51,120171.42,15076.5039,4,2.332,0
0x0000000000000000000000000000000000000031,risky,865,7,4,3,0.5714,340529.84,234145.8,-1298337.42,-871303.2293,2,1.064,1
0x0000000000000000000000000000000000000032,moderate,731,8,7,1,0.875,94423.8,31782.95,923946.0,302510.9973,1,1.59,0
0x0000000000000000000000000000000000000033,reliable,312,17,16,0,0.9412,273925.79,74167.87,2252515.57,323471.7169,8,2.349,0
0x0000000000000000000000000000000000000034,reliable,1048,14,13,1,0.9286,64822.38,32596.08,580990.34,92917.7532,3,1.626,0
0x0000000000000000000000000000000000000035,reliable,83,12,11,1,0.9167,266627.39,74029.12,1855910.94,799068.6147,2,1.502,0
0x0000000000000000000000000000000000000036,reliable,963,17,16,0,0.9412,172523.3,42307.12,1691181.51,766481.2766,2,1.85,0
0x0000000000000000000000000000000000000037,reliable,122,19,19,0,1.0,162979.67,24754.89,1538314.11,306998.1792,8,2.44,0
0x0000000000000000000000000000000000000038,risky,458,7,4,3,0.5714,166543.28,102754.36,1135817.33,247178.768,3,1.055,0
0x0000000000000000000000000000000000000039,moderate,362,3,3,0,1.0,69133.8,64490.95,751934.08,166727.3428,1,1.239,0
